storeName,openingHours,storeType,products
JetwayJunction,9:00 AM - 5:00 PM,Clothing boutique,"[""snacks"",""travel pillows"",""luggage tags"",""travel guides"",""magazines""]"
RunwaySnack,10:30 AM - 6:30 PM,Bookstore,"[""books"",""sunglasses"",""water bottles"",""travel adapters""]"
CloudCafe,8:00 AM - 4:00 PM,Coffee shop,"[""travel adapters"",""postcards"",""water bottles"",""magazines"",""earphones"",""travel-sized toiletries""]"
AviationAvenue,9:30 AM - 5:30 PM,Electronics store,"[""umbrellas"",""water bottles"",""travel guides"",""travel pillows"",""portable chargers"",""snacks""]"
PilotPickings,11:00 AM - 7:00 PM,Fast food restaurant,"[""sunglasses"",""earphones"",""travel adapters"",""water bottles""]"
CloudCafe,8:30 AM - 4:30 PM,Spa,"[""books"",""travel-sized toiletries"",""travel pillows""]"
PropellerPantry,12:00 PM - 8:00 PM,Bookstore,"[""hand sanitizers"",""snacks"",""sunglasses"",""luggage tags""]"
AviatorAvenue,10:30 AM - 6:30 PM,Electronics store,"[""earphones"",""hand sanitizers"",""travel adapters"",""magazines"",""travel-sized toiletries"",""luggage tags""]"
FlightFare,12:00 PM - 8:00 PM,Clothing boutique,"[""travel adapters"",""portable chargers"",""travel guides"",""earphones"",""umbrellas"",""magazines""]"
SkyLounge,9:00 AM - 5:00 PM,Clothing boutique,"[""earphones"",""umbrellas"",""snacks"",""magazines"",""water bottles"",""travel-sized toiletries""]"
RunwayRetail,7:00 AM - 3:00 PM,Coffee shop,"[""travel guides"",""luggage tags"",""travel adapters"",""magazines"",""books"",""sunglasses""]"
WingMart,11:00 AM - 7:00 PM,Coffee shop,"[""travel pillows"",""earphones"",""snacks"",""hand sanitizers""]"
TarmacTreats,10:30 AM - 6:30 PM,Fast food restaurant,"[""travel guides"",""portable chargers"",""travel-sized toiletries"",""postcards"",""travel pillows""]"
AirfieldAisle,9:00 AM - 5:00 PM,Fast food restaurant,"[""earphones"",""postcards"",""portable chargers"",""travel adapters"",""snacks"",""travel guides""]"
AeroAlley,9:00 AM - 5:00 PM,Fast food restaurant,"[""earphones"",""postcards"",""magazines"",""umbrellas"",""portable chargers"",""books""]"
CockpitCorner,10:00 AM - 6:00 PM,Electronics store,"[""luggage tags"",""postcards"",""portable chargers"",""magazines""]"
SkyMart,9:30 AM - 5:30 PM,Bookstore,"[""water bottles"",""portable chargers"",""luggage tags""]"
AirfieldAisle,8:00 AM - 4:00 PM,Coffee shop,"[""hand sanitizers"",""magazines"",""postcards"",""umbrellas"",""travel adapters"",""books""]"
SkyMart,9:00 AM - 5:00 PM,Coffee shop,"[""books"",""postcards"",""hand sanitizers"",""umbrellas"",""earphones"",""travel guides""]"
SkyportShop,9:30 AM - 5:30 PM,Bookstore,"[""travel pillows"",""magazines"",""water bottles"",""snacks"",""portable chargers"",""luggage tags""]"
SkyMart,1:00 PM - 9:00 PM,Spa,"[""earphones"",""snacks"",""travel adapters"",""books"",""hand sanitizers""]"
AviatorAvenue,9:30 AM - 5:30 PM,Clothing boutique,"[""hand sanitizers"",""travel guides"",""postcards"",""snacks""]"
SkyLounge,9:30 AM - 5:30 PM,Clothing boutique,"[""magazines"",""snacks"",""travel-sized toiletries""]"
AirsideBites,8:30 AM - 4:30 PM,Bookstore,"[""umbrellas"",""sunglasses"",""travel guides""]"
RunwaySnack,1:00 PM - 9:00 PM,Gift shop,"[""travel-sized toiletries"",""snacks"",""magazines"",""portable chargers"",""books"",""earphones""]"
PilotPickings,1:00 PM - 9:00 PM,Clothing boutique,"[""water bottles"",""portable chargers"",""hand sanitizers"",""books""]"
JetStop,10:00 AM - 6:00 PM,Clothing boutique,"[""travel-sized toiletries"",""travel adapters"",""books""]"
JetwayJunction,7:00 AM - 3:00 PM,Gift shop,"[""earphones"",""books"",""travel adapters"",""travel-sized toiletries"",""snacks""]"
PropellerPantry,10:00 AM - 6:00 PM,Electronics store,"[""travel pillows"",""travel adapters"",""travel-sized toiletries""]"
JetStop,10:30 AM - 6:30 PM,Bookstore,"[""sunglasses"",""water bottles"",""travel guides"",""umbrellas"",""travel-sized toiletries"",""portable chargers""]"
AviationAvenue,8:00 AM - 4:00 PM,Gift shop,"[""earphones"",""sunglasses"",""travel-sized toiletries"",""magazines"",""travel adapters"",""snacks""]"
SkyportShop,10:00 AM - 6:00 PM,Bookstore,"[""water bottles"",""magazines"",""travel guides""]"
AviatorAvenue,10:00 AM - 6:00 PM,Electronics store,"[""luggage tags"",""hand sanitizers"",""snacks"",""earphones""]"
AeroAlley,10:00 AM - 6:00 PM,Gift shop,"[""luggage tags"",""magazines"",""water bottles"",""travel guides""]"
SkyMart,9:00 AM - 5:00 PM,Coffee shop,"[""snacks"",""postcards"",""travel adapters"",""magazines""]"
JetwayJunction,12:00 PM - 8:00 PM,Electronics store,"[""portable chargers"",""earphones"",""water bottles"",""travel pillows""]"
TerminalTreats,10:30 AM - 6:30 PM,Electronics store,"[""portable chargers"",""umbrellas"",""water bottles""]"
JetwayJunction,10:00 AM - 6:00 PM,Clothing boutique,"[""travel-sized toiletries"",""portable chargers"",""hand sanitizers"",""travel pillows""]"
FlyByShop,9:30 AM - 5:30 PM,Gift shop,"[""travel pillows"",""postcards"",""portable chargers"",""snacks"",""luggage tags"",""earphones""]"
CockpitCorner,9:00 AM - 5:00 PM,Gift shop,"[""portable chargers"",""postcards"",""luggage tags""]"
PropellerPantry,10:00 AM - 6:00 PM,Clothing boutique,"[""hand sanitizers"",""snacks"",""portable chargers"",""travel adapters""]"
HangarHut,1:00 PM - 9:00 PM,Duty-free shop,"[""snacks"",""umbrellas"",""hand sanitizers"",""water bottles""]"
JetStop,1:00 PM - 9:00 PM,Spa,"[""water bottles"",""travel-sized toiletries"",""postcards""]"
WingMart,9:30 AM - 5:30 PM,Coffee shop,"[""luggage tags"",""sunglasses"",""snacks"",""travel guides""]"
TarmacTreats,9:30 AM - 5:30 PM,Spa,"[""travel adapters"",""snacks"",""portable chargers"",""postcards"",""water bottles""]"
RunwayRetail,9:30 AM - 5:30 PM,Coffee shop,"[""luggage tags"",""travel pillows"",""magazines"",""portable chargers"",""earphones""]"
SkywaySundries,1:00 PM - 9:00 PM,Gift shop,"[""water bottles"",""travel guides"",""postcards"",""travel pillows"",""travel adapters"",""luggage tags""]"
CockpitCorner,9:00 AM - 5:00 PM,Fast food restaurant,"[""snacks"",""luggage tags"",""travel adapters"",""books"",""hand sanitizers"",""sunglasses""]"
PropellerPantry,8:00 AM - 4:00 PM,Coffee shop,"[""luggage tags"",""magazines"",""umbrellas"",""travel pillows""]"
PilotPickings,8:00 AM - 4:00 PM,Fast food restaurant,"[""snacks"",""magazines"",""travel-sized toiletries"",""postcards"",""hand sanitizers""]"
CloudCafe,8:00 AM - 4:00 PM,Fast food restaurant,"[""travel guides"",""umbrellas"",""earphones""]"
JetwayJunction,9:30 AM - 5:30 PM,Gift shop,"[""umbrellas"",""travel guides"",""sunglasses"",""travel-sized toiletries"",""luggage tags"",""snacks""]"
WingMart,1:00 PM - 9:00 PM,Fast food restaurant,"[""umbrellas"",""portable chargers"",""luggage tags"",""travel pillows"",""hand sanitizers""]"
CabinCafe,8:00 AM - 4:00 PM,Spa,"[""books"",""sunglasses"",""water bottles"",""travel pillows"",""umbrellas""]"
SkyLounge,8:00 AM - 4:00 PM,Gift shop,"[""postcards"",""magazines"",""earphones"",""travel adapters"",""sunglasses""]"
PropellerPantry,8:30 AM - 4:30 PM,Coffee shop,"[""umbrellas"",""snacks"",""magazines""]"
CabinCafe,9:00 AM - 5:00 PM,Fast food restaurant,"[""travel pillows"",""books"",""luggage tags"",""sunglasses"",""hand sanitizers"",""earphones""]"
GateGoods,8:30 AM - 4:30 PM,Fast food restaurant,"[""postcards"",""travel-sized toiletries"",""sunglasses""]"
RunwaySnack,9:00 AM - 5:00 PM,Gift shop,"[""travel-sized toiletries"",""travel guides"",""sunglasses"",""water bottles"",""umbrellas""]"
TarmacTreats,8:00 AM - 4:00 PM,Spa,"[""postcards"",""travel guides"",""snacks"",""books"",""luggage tags"",""earphones""]"
AirsideBites,1:00 PM - 9:00 PM,Coffee shop,"[""umbrellas"",""portable chargers"",""postcards"",""travel-sized toiletries""]"
JetStop,10:00 AM - 6:00 PM,Coffee shop,"[""water bottles"",""travel-sized toiletries"",""hand sanitizers""]"
RunwaySnack,1:00 PM - 9:00 PM,Clothing boutique,"[""sunglasses"",""travel-sized toiletries"",""earphones""]"
JetwayJunction,9:30 AM - 5:30 PM,Fast food restaurant,"[""umbrellas"",""snacks"",""earphones"",""portable chargers""]"
PilotPickings,7:00 AM - 3:00 PM,Duty-free shop,"[""travel adapters"",""travel pillows"",""luggage tags"",""postcards"",""umbrellas""]"
FlyByShop,1:00 PM - 9:00 PM,Electronics store,"[""travel-sized toiletries"",""earphones"",""sunglasses"",""books"",""portable chargers""]"
TerminalTreats,1:00 PM - 9:00 PM,Gift shop,"[""books"",""water bottles"",""travel-sized toiletries"",""snacks"",""umbrellas"",""postcards""]"
FlightFare,8:00 AM - 4:00 PM,Clothing boutique,"[""sunglasses"",""water bottles"",""travel adapters"",""luggage tags"",""travel pillows"",""travel guides""]"
CabinCafe,1:00 PM - 9:00 PM,Electronics store,"[""water bottles"",""travel adapters"",""travel guides""]"
RunwaySnack,11:00 AM - 7:00 PM,Fast food restaurant,"[""portable chargers"",""travel adapters"",""travel pillows""]"
CockpitCorner,8:00 AM - 4:00 PM,Coffee shop,"[""magazines"",""books"",""hand sanitizers"",""travel guides""]"
AviatorAvenue,10:30 AM - 6:30 PM,Bookstore,"[""hand sanitizers"",""umbrellas"",""water bottles""]"
AviationAvenue,9:30 AM - 5:30 PM,Bookstore,"[""snacks"",""travel guides"",""magazines"",""luggage tags"",""travel pillows""]"
AirsideBites,7:00 AM - 3:00 PM,Fast food restaurant,"[""magazines"",""snacks"",""travel adapters""]"
SkyLounge,8:00 AM - 4:00 PM,Coffee shop,"[""sunglasses"",""water bottles"",""travel guides"",""snacks"",""postcards""]"
CloudCafe,9:30 AM - 5:30 PM,Clothing boutique,"[""travel guides"",""snacks"",""travel adapters""]"
RunwayRetail,9:00 AM - 5:00 PM,Spa,"[""magazines"",""travel pillows"",""travel guides"",""portable chargers"",""hand sanitizers"",""earphones""]"
AeroAlley,9:00 AM - 5:00 PM,Electronics store,"[""sunglasses"",""books"",""travel adapters"",""travel guides"",""umbrellas"",""luggage tags""]"
AirfieldAisle,1:00 PM - 9:00 PM,Duty-free shop,"[""earphones"",""magazines"",""travel pillows"",""travel-sized toiletries""]"
JetwayJunction,9:00 AM - 5:00 PM,Fast food restaurant,"[""travel pillows"",""portable chargers"",""postcards""]"
PropellerPantry,7:00 AM - 3:00 PM,Duty-free shop,"[""postcards"",""umbrellas"",""snacks"",""magazines""]"
RunwaySnack,1:00 PM - 9:00 PM,Clothing boutique,"[""umbrellas"",""water bottles"",""luggage tags""]"
RunwaySnack,7:00 AM - 3:00 PM,Coffee shop,"[""snacks"",""postcards"",""travel pillows"",""travel adapters"",""sunglasses"",""books""]"
PilotPickings,8:30 AM - 4:30 PM,Gift shop,"[""travel pillows"",""hand sanitizers"",""water bottles"",""snacks"",""travel guides""]"
CockpitCorner,10:00 AM - 6:00 PM,Clothing boutique,"[""postcards"",""luggage tags"",""sunglasses"",""travel guides""]"
CockpitCorner,9:00 AM - 5:00 PM,Clothing boutique,"[""portable chargers"",""hand sanitizers"",""travel-sized toiletries"",""travel pillows"",""water bottles"",""books""]"
SkyportShop,9:00 AM - 5:00 PM,Duty-free shop,"[""hand sanitizers"",""portable chargers"",""sunglasses""]"
FlightFare,9:00 AM - 5:00 PM,Spa,"[""travel adapters"",""luggage tags"",""magazines"",""earphones"",""hand sanitizers""]"
SkyMart,1:00 PM - 9:00 PM,Electronics store,"[""hand sanitizers"",""snacks"",""umbrellas"",""travel adapters"",""travel guides"",""luggage tags""]"
TerminalTreats,10:00 AM - 6:00 PM,Electronics store,"[""books"",""postcards"",""magazines"",""water bottles""]"
GateGoods,9:00 AM - 5:00 PM,Fast food restaurant,"[""luggage tags"",""sunglasses"",""travel guides"",""umbrellas"",""hand sanitizers"",""magazines""]"
AirfieldAisle,10:00 AM - 6:00 PM,Bookstore,"[""portable chargers"",""sunglasses"",""travel-sized toiletries""]"
AirfieldAisle,9:00 AM - 5:00 PM,Duty-free shop,"[""luggage tags"",""magazines"",""travel adapters"",""postcards"",""earphones"",""travel pillows""]"
FlyByShop,10:00 AM - 6:00 PM,Spa,"[""travel pillows"",""travel guides"",""books"",""sunglasses"",""earphones""]"
SkyMart,10:00 AM - 6:00 PM,Clothing boutique,"[""travel-sized toiletries"",""travel adapters"",""postcards"",""sunglasses"",""portable chargers"",""hand sanitizers""]"
SkyLounge,8:30 AM - 4:30 PM,Gift shop,"[""travel pillows"",""snacks"",""magazines"",""portable chargers""]"
TerminalTreats,10:30 AM - 6:30 PM,Electronics store,"[""travel pillows"",""umbrellas"",""travel guides"",""travel adapters"",""books"",""snacks""]"
CloudCafe,10:30 AM - 6:30 PM,Electronics store,"[""umbrellas"",""travel guides"",""portable chargers""]"
AviatorAvenue,11:00 AM - 7:00 PM,Spa,"[""portable chargers"",""earphones"",""travel-sized toiletries""]"
SkywaySundries,10:30 AM - 6:30 PM,Coffee shop,"[""snacks"",""travel adapters"",""earphones"",""umbrellas"",""luggage tags"",""travel guides""]"
AirfieldAisle,8:00 AM - 4:00 PM,Duty-free shop,"[""travel adapters"",""postcards"",""water bottles"",""hand sanitizers""]"
TarmacTreats,7:00 AM - 3:00 PM,Gift shop,"[""postcards"",""water bottles"",""luggage tags""]"
SkyportShop,9:30 AM - 5:30 PM,Coffee shop,"[""portable chargers"",""sunglasses"",""snacks"",""travel guides"",""postcards"",""earphones""]"
AviatorAvenue,9:00 AM - 5:00 PM,Spa,"[""travel guides"",""travel adapters"",""water bottles"",""travel pillows"",""umbrellas"",""postcards""]"
TarmacTreats,10:00 AM - 6:00 PM,Fast food restaurant,"[""travel pillows"",""umbrellas"",""travel adapters"",""water bottles"",""postcards"",""travel guides""]"
CabinCafe,9:30 AM - 5:30 PM,Gift shop,"[""travel guides"",""postcards"",""portable chargers"",""snacks"",""magazines""]"
GateGoods,8:00 AM - 4:00 PM,Fast food restaurant,"[""hand sanitizers"",""earphones"",""sunglasses"",""luggage tags"",""travel adapters"",""snacks""]"
CabinCafe,8:00 AM - 4:00 PM,Duty-free shop,"[""travel adapters"",""umbrellas"",""portable chargers"",""postcards"",""earphones"",""travel pillows""]"
FlyByShop,1:00 PM - 9:00 PM,Duty-free shop,"[""luggage tags"",""umbrellas"",""snacks""]"
CabinCafe,10:30 AM - 6:30 PM,Coffee shop,"[""magazines"",""travel pillows"",""umbrellas"",""travel adapters"",""postcards""]"
SkyportShop,8:00 AM - 4:00 PM,Clothing boutique,"[""books"",""magazines"",""luggage tags"",""water bottles"",""sunglasses""]"
AviatorAvenue,7:00 AM - 3:00 PM,Bookstore,"[""earphones"",""postcards"",""portable chargers"",""luggage tags"",""travel pillows""]"
JetwayJunction,11:00 AM - 7:00 PM,Bookstore,"[""travel-sized toiletries"",""postcards"",""luggage tags"",""umbrellas"",""magazines"",""travel pillows""]"
TarmacTreats,8:00 AM - 4:00 PM,Coffee shop,"[""snacks"",""travel guides"",""postcards""]"
SkyLounge,1:00 PM - 9:00 PM,Coffee shop,"[""snacks"",""water bottles"",""books"",""travel-sized toiletries"",""postcards"",""hand sanitizers""]"
SkyMart,12:00 PM - 8:00 PM,Clothing boutique,"[""snacks"",""sunglasses"",""umbrellas""]"
SkywaySundries,12:00 PM - 8:00 PM,Electronics store,"[""portable chargers"",""books"",""snacks"",""travel guides""]"
SkyLounge,10:00 AM - 6:00 PM,Gift shop,"[""snacks"",""water bottles"",""luggage tags""]"
JetwayJunction,12:00 PM - 8:00 PM,Gift shop,"[""postcards"",""travel pillows"",""water bottles"",""portable chargers""]"
CabinCafe,7:00 AM - 3:00 PM,Clothing boutique,"[""umbrellas"",""portable chargers"",""postcards"",""travel adapters"",""snacks""]"
AviationAvenue,10:00 AM - 6:00 PM,Gift shop,"[""snacks"",""travel adapters"",""books"",""sunglasses"",""magazines"",""earphones""]"
CockpitCorner,10:30 AM - 6:30 PM,Duty-free shop,"[""travel-sized toiletries"",""magazines"",""umbrellas""]"
HangarHut,10:30 AM - 6:30 PM,Fast food restaurant,"[""umbrellas"",""luggage tags"",""hand sanitizers"",""travel-sized toiletries""]"
SkyportShop,9:00 AM - 5:00 PM,Bookstore,"[""hand sanitizers"",""travel pillows"",""sunglasses"",""travel guides""]"
SkyportShop,12:00 PM - 8:00 PM,Electronics store,"[""luggage tags"",""magazines"",""portable chargers""]"
SkyMart,12:00 PM - 8:00 PM,Gift shop,"[""earphones"",""books"",""portable chargers"",""sunglasses""]"
FlyByShop,10:00 AM - 6:00 PM,Fast food restaurant,"[""snacks"",""postcards"",""umbrellas"",""earphones""]"
FlightFare,12:00 PM - 8:00 PM,Gift shop,"[""books"",""travel adapters"",""luggage tags"",""travel guides"",""portable chargers""]"
PropellerPantry,8:00 AM - 4:00 PM,Duty-free shop,"[""earphones"",""travel guides"",""travel-sized toiletries"",""portable chargers""]"
WingMart,11:00 AM - 7:00 PM,Clothing boutique,"[""books"",""earphones"",""postcards"",""sunglasses""]"
GateGoods,12:00 PM - 8:00 PM,Clothing boutique,"[""travel pillows"",""hand sanitizers"",""sunglasses"",""earphones"",""travel-sized toiletries""]"
FlyByShop,11:00 AM - 7:00 PM,Coffee shop,"[""travel guides"",""snacks"",""umbrellas"",""magazines"",""portable chargers""]"
CockpitCorner,12:00 PM - 8:00 PM,Gift shop,"[""umbrellas"",""magazines"",""water bottles""]"
CockpitCorner,11:00 AM - 7:00 PM,Duty-free shop,"[""travel adapters"",""postcards"",""luggage tags"",""books""]"
SkywaySundries,10:30 AM - 6:30 PM,Spa,"[""postcards"",""snacks"",""travel-sized toiletries"",""portable chargers"",""luggage tags"",""water bottles""]"
CockpitCorner,8:00 AM - 4:00 PM,Clothing boutique,"[""water bottles"",""travel pillows"",""portable chargers"",""snacks"",""travel guides""]"
RunwaySnack,12:00 PM - 8:00 PM,Clothing boutique,"[""earphones"",""postcards"",""snacks"",""hand sanitizers""]"
JetwayJunction,10:00 AM - 6:00 PM,Spa,"[""travel-sized toiletries"",""water bottles"",""books"",""postcards""]"
AviatorAvenue,8:00 AM - 4:00 PM,Duty-free shop,"[""luggage tags"",""water bottles"",""earphones"",""postcards""]"
CloudCafe,8:00 AM - 4:00 PM,Spa,"[""books"",""portable chargers"",""water bottles"",""luggage tags""]"
HangarHut,10:30 AM - 6:30 PM,Clothing boutique,"[""sunglasses"",""earphones"",""water bottles"",""travel-sized toiletries"",""travel guides""]"
CockpitCorner,9:00 AM - 5:00 PM,Spa,"[""umbrellas"",""luggage tags"",""books"",""travel adapters"",""travel guides""]"
TerminalTreats,9:30 AM - 5:30 PM,Clothing boutique,"[""travel-sized toiletries"",""portable chargers"",""magazines"",""snacks"",""travel adapters"",""postcards""]"
SkywaySundries,9:30 AM - 5:30 PM,Clothing boutique,"[""travel adapters"",""umbrellas"",""postcards""]"
PropellerPantry,1:00 PM - 9:00 PM,Duty-free shop,"[""luggage tags"",""sunglasses"",""travel-sized toiletries"",""travel pillows"",""snacks""]"
HangarHut,10:30 AM - 6:30 PM,Bookstore,"[""books"",""travel pillows"",""sunglasses"",""snacks"",""hand sanitizers""]"
AviatorAvenue,9:30 AM - 5:30 PM,Fast food restaurant,"[""umbrellas"",""books"",""travel pillows"",""hand sanitizers"",""travel adapters"",""magazines""]"
FlyByShop,7:00 AM - 3:00 PM,Bookstore,"[""magazines"",""travel guides"",""earphones"",""travel-sized toiletries"",""travel pillows""]"
AviatorAvenue,9:30 AM - 5:30 PM,Bookstore,"[""travel pillows"",""snacks"",""travel guides""]"
JetStop,10:00 AM - 6:00 PM,Bookstore,"[""earphones"",""books"",""luggage tags"",""magazines"",""travel-sized toiletries""]"
PilotPickings,9:30 AM - 5:30 PM,Spa,"[""travel-sized toiletries"",""water bottles"",""snacks"",""travel guides"",""portable chargers"",""sunglasses""]"
RunwayRetail,7:00 AM - 3:00 PM,Spa,"[""water bottles"",""snacks"",""magazines""]"
AviationAvenue,1:00 PM - 9:00 PM,Electronics store,"[""postcards"",""travel pillows"",""magazines"",""portable chargers"",""water bottles"",""hand sanitizers""]"
FlyByShop,7:00 AM - 3:00 PM,Duty-free shop,"[""travel pillows"",""postcards"",""travel-sized toiletries"",""books"",""hand sanitizers""]"
PropellerPantry,8:00 AM - 4:00 PM,Spa,"[""sunglasses"",""travel adapters"",""books"",""hand sanitizers"",""portable chargers""]"
SkywaySundries,8:00 AM - 4:00 PM,Fast food restaurant,"[""travel adapters"",""books"",""travel pillows"",""water bottles"",""earphones"",""portable chargers""]"
WingMart,8:30 AM - 4:30 PM,Fast food restaurant,"[""travel-sized toiletries"",""luggage tags"",""earphones"",""travel guides"",""sunglasses"",""magazines""]"
PilotPickings,9:30 AM - 5:30 PM,Gift shop,"[""snacks"",""luggage tags"",""travel guides""]"
HangarHut,10:00 AM - 6:00 PM,Bookstore,"[""travel guides"",""water bottles"",""snacks"",""travel-sized toiletries""]"
AviatorAvenue,9:00 AM - 5:00 PM,Clothing boutique,"[""water bottles"",""magazines"",""earphones""]"
AviationAvenue,10:00 AM - 6:00 PM,Spa,"[""hand sanitizers"",""travel adapters"",""postcards"",""sunglasses""]"
JetwayJunction,9:30 AM - 5:30 PM,Coffee shop,"[""magazines"",""hand sanitizers"",""travel guides"",""water bottles"",""travel pillows"",""snacks""]"
SkyLounge,11:00 AM - 7:00 PM,Coffee shop,"[""travel guides"",""hand sanitizers"",""postcards"",""portable chargers"",""snacks"",""earphones""]"
JetStop,12:00 PM - 8:00 PM,Clothing boutique,"[""umbrellas"",""travel adapters"",""portable chargers""]"
PilotPickings,10:00 AM - 6:00 PM,Coffee shop,"[""water bottles"",""travel pillows"",""books"",""portable chargers"",""postcards"",""sunglasses""]"
AirfieldAisle,12:00 PM - 8:00 PM,Fast food restaurant,"[""books"",""travel pillows"",""earphones"",""hand sanitizers"",""luggage tags""]"
PropellerPantry,9:00 AM - 5:00 PM,Electronics store,"[""umbrellas"",""travel pillows"",""travel guides"",""sunglasses""]"
CloudCafe,12:00 PM - 8:00 PM,Coffee shop,"[""travel adapters"",""luggage tags"",""travel-sized toiletries"",""magazines"",""books"",""portable chargers""]"
JetwayJunction,10:30 AM - 6:30 PM,Gift shop,"[""hand sanitizers"",""snacks"",""magazines"",""travel guides"",""postcards"",""travel pillows""]"
RunwaySnack,10:30 AM - 6:30 PM,Clothing boutique,"[""travel guides"",""travel pillows"",""magazines"",""luggage tags""]"
CabinCafe,12:00 PM - 8:00 PM,Fast food restaurant,"[""postcards"",""water bottles"",""books""]"
CloudCafe,9:00 AM - 5:00 PM,Bookstore,"[""travel guides"",""postcards"",""magazines""]"
CloudCafe,9:30 AM - 5:30 PM,Bookstore,"[""books"",""earphones"",""hand sanitizers"",""snacks""]"
TarmacTreats,9:30 AM - 5:30 PM,Fast food restaurant,"[""portable chargers"",""travel guides"",""magazines"",""hand sanitizers"",""travel-sized toiletries""]"
FlightFare,8:00 AM - 4:00 PM,Coffee shop,"[""hand sanitizers"",""travel pillows"",""luggage tags"",""earphones""]"
GateGoods,8:30 AM - 4:30 PM,Duty-free shop,"[""travel adapters"",""hand sanitizers"",""magazines"",""travel pillows"",""travel guides"",""umbrellas""]"
AirsideBites,10:30 AM - 6:30 PM,Gift shop,"[""magazines"",""books"",""travel pillows""]"
HangarHut,8:00 AM - 4:00 PM,Electronics store,"[""snacks"",""travel pillows"",""portable chargers"",""postcards""]"
SkyMart,9:00 AM - 5:00 PM,Spa,"[""travel pillows"",""travel-sized toiletries"",""luggage tags""]"
TerminalTreats,10:00 AM - 6:00 PM,Clothing boutique,"[""books"",""sunglasses"",""umbrellas"",""travel guides"",""travel adapters"",""snacks""]"
AviationAvenue,12:00 PM - 8:00 PM,Duty-free shop,"[""books"",""travel adapters"",""postcards"",""travel guides"",""earphones"",""sunglasses""]"
AviationAvenue,8:30 AM - 4:30 PM,Electronics store,"[""postcards"",""travel adapters"",""portable chargers""]"
FlightFare,10:00 AM - 6:00 PM,Coffee shop,"[""luggage tags"",""magazines"",""travel-sized toiletries"",""books"",""hand sanitizers""]"
SkywaySundries,10:00 AM - 6:00 PM,Clothing boutique,"[""books"",""travel adapters"",""water bottles"",""postcards"",""hand sanitizers""]"
FlyByShop,10:30 AM - 6:30 PM,Fast food restaurant,"[""travel adapters"",""earphones"",""portable chargers"",""luggage tags"",""water bottles"",""travel guides""]"
CloudCafe,12:00 PM - 8:00 PM,Gift shop,"[""water bottles"",""travel pillows"",""snacks""]"
CabinCafe,10:00 AM - 6:00 PM,Clothing boutique,"[""earphones"",""snacks"",""travel guides"",""travel adapters"",""luggage tags"",""water bottles""]"
GateGoods,8:30 AM - 4:30 PM,Clothing boutique,"[""travel-sized toiletries"",""luggage tags"",""postcards""]"
SkywaySundries,8:00 AM - 4:00 PM,Bookstore,"[""luggage tags"",""travel pillows"",""postcards""]"
CockpitCorner,8:30 AM - 4:30 PM,Duty-free shop,"[""travel guides"",""portable chargers"",""hand sanitizers""]"
CloudCafe,10:30 AM - 6:30 PM,Bookstore,"[""umbrellas"",""luggage tags"",""hand sanitizers"",""sunglasses"",""travel adapters"",""portable chargers""]"
CockpitCorner,1:00 PM - 9:00 PM,Bookstore,"[""travel pillows"",""snacks"",""water bottles"",""travel guides"",""travel adapters""]"
FlightFare,12:00 PM - 8:00 PM,Electronics store,"[""umbrellas"",""travel adapters"",""water bottles"",""magazines""]"
PilotPickings,12:00 PM - 8:00 PM,Clothing boutique,"[""luggage tags"",""earphones"",""umbrellas"",""travel-sized toiletries"",""travel pillows""]"
AviatorAvenue,8:00 AM - 4:00 PM,Duty-free shop,"[""magazines"",""umbrellas"",""travel adapters"",""travel guides"",""sunglasses""]"
SkyMart,11:00 AM - 7:00 PM,Coffee shop,"[""travel-sized toiletries"",""postcards"",""magazines"",""water bottles""]"
PropellerPantry,12:00 PM - 8:00 PM,Electronics store,"[""travel pillows"",""travel adapters"",""travel guides""]"
CloudCafe,9:30 AM - 5:30 PM,Gift shop,"[""luggage tags"",""sunglasses"",""postcards"",""travel pillows""]"
TarmacTreats,8:00 AM - 4:00 PM,Duty-free shop,"[""portable chargers"",""sunglasses"",""postcards"",""travel guides"",""luggage tags""]"
SkyportShop,12:00 PM - 8:00 PM,Clothing boutique,"[""luggage tags"",""water bottles"",""snacks"",""travel pillows"",""travel-sized toiletries""]"
AeroAlley,10:00 AM - 6:00 PM,Clothing boutique,"[""travel adapters"",""sunglasses"",""earphones"",""umbrellas"",""water bottles"",""travel pillows""]"
RunwaySnack,10:00 AM - 6:00 PM,Fast food restaurant,"[""travel pillows"",""sunglasses"",""postcards"",""earphones"",""water bottles"",""portable chargers""]"
JetStop,1:00 PM - 9:00 PM,Clothing boutique,"[""travel pillows"",""snacks"",""earphones"",""hand sanitizers"",""luggage tags""]"
AeroAlley,8:30 AM - 4:30 PM,Fast food restaurant,"[""sunglasses"",""snacks"",""postcards"",""travel adapters"",""hand sanitizers""]"
TerminalTreats,8:30 AM - 4:30 PM,Coffee shop,"[""portable chargers"",""magazines"",""luggage tags"",""hand sanitizers"",""books"",""travel-sized toiletries""]"
TerminalTreats,7:00 AM - 3:00 PM,Spa,"[""travel-sized toiletries"",""magazines"",""books""]"
TerminalTreats,10:30 AM - 6:30 PM,Spa,"[""postcards"",""travel pillows"",""travel-sized toiletries"",""travel adapters"",""snacks""]"
HangarHut,9:30 AM - 5:30 PM,Gift shop,"[""snacks"",""umbrellas"",""portable chargers"",""luggage tags""]"
